"E8012001","E8012002","E8012003","E8012004","E8012005","E8012006","E8012007","E8012008","E8012009","E8012010","E8012011","E8012012","R0000100","R0536300","R0536401","R0536402","R1235800","R1482600"
0,0,0,0,0,0,0,0,0,0,0,0,261,1,4,1983,1,1
0,0,0,0,0,0,0,0,0,0,0,0,262,1,9,1980,1,1
99,99,99,99,99,99,99,99,99,99,99,99,263,1,7,1983,1,1
0,0,0,0,0,0,0,0,0,0,0,0,264,1,7,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,265,1,9,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,266,2,12,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,267,2,12,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,268,1,12,1981,1,2
99,99,99,99,99,99,99,99,99,99,99,99,269,2,6,1981,1,4
99,99,99,99,99,99,99,99,99,99,99,99,270,2,1,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,271,2,8,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,272,2,9,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,273,2,4,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,274,2,8,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,275,1,12,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,276,2,1,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,277,1,2,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,278,1,9,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,279,1,4,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,280,1,5,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,281,1,12,1984,1,1
99,99,99,99,99,99,99,99,99,99,99,99,282,1,6,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,283,1,5,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,284,2,3,1981,1,1
0,0,0,0,0,0,0,0,0,0,0,0,285,1,2,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,286,2,9,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,287,1,5,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,288,2,10,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,289,2,10,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,290,2,1,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,291,2,6,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,292,2,9,1984,1,1
0,0,0,0,0,0,0,0,0,0,0,0,293,2,11,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,294,1,5,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,295,2,9,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,296,2,12,1981,1,2
0,0,0,0,0,0,0,0,0,0,0,1,297,1,7,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,298,2,6,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,299,1,5,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,300,2,5,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,301,2,12,1981,1,4
0,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,302,2,3,1984,1,4
0,0,0,0,0,0,0,0,0,1,99,99,303,2,9,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,304,1,2,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,305,2,2,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,306,2,2,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,307,2,5,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,308,1,4,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,309,2,4,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,310,2,6,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,311,1,3,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,312,2,7,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,313,2,4,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,314,1,10,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,315,2,1,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,316,1,4,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,317,2,8,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,318,1,2,1983,1,4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,319,2,3,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,320,2,7,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,321,1,10,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,322,2,6,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,323,1,3,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,324,1,6,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,325,1,9,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,326,2,3,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,327,2,1,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,328,1,3,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,329,1,2,1984,1,4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,330,1,6,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,331,2,4,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,332,1,1,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,333,2,8,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,334,2,1,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,335,2,6,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,336,1,2,1982,1,1
0,0,0,0,0,0,0,0,0,0,0,0,337,1,7,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,338,2,4,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,339,2,9,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,340,1,12,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,341,1,12,1983,1,4
99,99,99,99,99,99,99,99,99,99,99,99,342,1,3,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,343,1,3,1984,1,4
99,99,99,99,99,99,1,99,99,99,99,99,344,1,3,1984,1,4
1,99,99,99,99,99,99,99,99,99,99,99,345,1,3,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,346,1,5,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,347,1,9,1981,1,2
0,0,0,0,0,0,0,0,0,0,0,0,348,1,8,1983,1,2
99,1,99,99,99,99,99,99,1,99,99,99,349,1,1,1984,1,2
99,99,1,99,99,99,99,99,99,1,99,99,350,1,2,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,351,2,6,1981,1,2
99,99,99,99,99,99,99,99,99,99,99,99,352,2,6,1981,1,2
0,0,0,0,0,0,0,0,0,0,0,0,353,2,9,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,354,2,7,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,355,2,12,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,356,2,10,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,357,1,9,1981,1,2
0,0,0,0,0,0,0,0,0,0,0,0,358,1,2,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,359,2,1,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,360,1,9,1984,1,2
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,361,1,8,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,362,2,4,1981,1,2
0,0,0,0,0,0,0,0,0,0,0,0,363,2,11,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,364,2,7,1984,1,2
99,99,99,99,99,99,99,99,99,99,99,99,365,2,2,1982,1,2
